color,team name,game duration,score,goals,assists,saves,shots,shots conceded,goals conceded,shooting percentage,bpm,avg boost amount,amount collected,amount collected big pads,amount collected small pads,count collected big pads,count collected small pads,amount stolen,amount stolen big pads,amount stolen small pads,count stolen big pads,count stolen small pads,0 boost time,100 boost time,amount used while supersonic,amount overfill total,amount overfill stolen,total distance,time slow speed,time boost speed,time supersonic speed,time on ground,time low in air,time high in air,time powerslide,count powerslide,time behind ball,time in front of ball,time defensive half,time offensive half,time defensive third,time neutral third,time offensive third,time ball possession,time ball in own side,demos inflicted,demos taken
blue,COLUMBIA,334,1177,3,2,3,10,3,0,30,1355,155.53,7416,5223,2193,66,201,1702,1038,664,14,59,82.18,125,996,1453,368,1502862,411.46,405.59,173.06,574.24,347.74,68.13,23.03,210,742.51,247.61,564.1,426.01,364.18,374.47,251.48,148.03,114.37,2,4
orange,KEYANO,334,828,0,0,5,3,10,3,0,1182,147.27,6696,4544,2152,57,189,1574,1122,452,12,40,104.98,97.6,707,1222,82,1477462,419.16,435.39,141.71,551.14,389.32,55.8,20.29,177,691.76,304.51,725.87,270.39,571.45,279.66,145.16,142.24,204.61,4,2
blue,WVU,375,1376,5,3,2,10,4,2,50,1288,134.74,7022,5107,1915,61,170,902,515,387,6,34,98.06,137.26,594,897,85,1581063,496.84,421.47,180.74,615.19,412.58,71.3,19.64,230,804.35,294.7,744.41,354.65,537.35,377.65,184.05,152.32,181.54,8,8
orange,ROCHESTER,375,901,2,0,5,4,10,5,50,1266,144.65,7647,5553,2094,69,179,1715,1219,496,16,43,106.71,105.89,1231,1264,283,1608741,466.36,424.3,204.65,637.07,413.96,44.29,16.77,180,781.09,314.21,748.45,346.86,544.26,369.2,181.85,130.4,157.53,8,8
blue,WVU,325,995,2,2,5,6,6,0,33.33,1186,134.33,6107,4224,1883,48,163,1261,737,524,8,46,123.42,122.41,495,557,44,1400060,458.27,388.77,119.13,530.69,363.96,71.53,18.24,191,703.3,262.88,676.05,290.13,520.04,281.83,164.32,154.17,182.72,2,3
orange,ROCHESTER,325,598,0,0,3,6,6,2,0,1298,154.97,6910,5077,1833,60,154,1622,1043,579,12,44,113.13,115.35,1046,963,162,1491727,405.49,392.02,171.71,569.39,339.86,59.96,18.14,180,676.33,292.9,551.42,417.8,383.2,349.66,236.36,138.58,132.33,3,2
blue,WVU,324,1060,2,1,6,7,7,0,28.57,1155,132.03,6304,4409,1895,51,162,825,383,442,4,39,140.06,107.5,478,646,23,1371843,466.73,374.05,117.84,507.16,396.5,54.96,20.43,195,707.92,250.68,667.9,290.72,488.59,302.3,167.73,149.97,178.66,1,5
orange,ROCHESTER,324,679,0,0,3,7,7,2,0,1266,143.58,6784,4872,1912,56,168,1455,831,624,9,57,146.67,105.52,1198,684,70,1532417,365.98,421.75,183.09,541.31,376.23,53.28,16.54,170,644.55,326.27,551.62,419.21,378.98,334.43,257.41,137.41,135.99,5,1
blue,IRSC,323,1307,2,2,7,9,10,0,22.22,1175,129.04,6073,3866,2207,46,193,1207,606,601,7,53,150.54,69.07,1127,637,61,1437327,416.33,371.77,164.36,541.18,363.73,47.56,18.54,174,689.75,262.71,637.39,315.07,476.49,295.72,180.25,111.51,170,1,6
orange,AKRON,323,848,0,0,5,10,9,2,0,1392,151.06,7456,5480,1976,66,168,2056,1214,842,14,68,120,130.07,1185,1176,195,1505533,367.16,404.27,191.18,535.15,373.78,53.68,22.49,223,619.85,342.77,524.99,437.62,383.52,282.24,296.86,179.06,143.54,6,1
blue,IRSC,465,1825,4,4,6,12,11,3,33.33,1191,132.53,8716,5884,2832,70,242,1491,752,739,8,57,172.94,100.24,1409,758,46,1983721,650.39,508.68,222.62,759.67,526.8,95.24,25.98,233,970.41,411.29,959.42,422.28,719.68,420.65,241.37,174.75,256.49,4,3
orange,AKRON,465,1542,3,2,8,11,12,4,27.27,1382,148.15,10240,7217,3023,85,263,2438,1395,1043,16,92,139.27,121.22,1652,1281,205,2072395,561.73,534.27,280.54,747.53,540.49,88.51,31.25,304,947.69,428.84,790.04,586.51,589.63,410.64,376.29,197.07,172.71,3,4
blue,IRSC,391,1471,5,2,6,10,12,4,50,1220,137.13,7665,5503,2162,65,194,1486,1039,447,13,40,133.93,90.04,1057,920,209,1662111,536.98,423.52,205.42,632.49,466.43,66.99,22.3,199,842.68,323.24,837.2,328.72,624.45,368.58,172.87,137.13,204.75,4,2
orange,AKRON,391,1346,4,4,3,12,10,5,33.33,1319,132.59,8477,6168,2309,72,205,2080,1258,822,13,72,162.53,115.87,1378,1064,62,1679521,486.79,456.75,211.03,656.77,445.78,52.03,23.68,237,820.84,333.73,672.92,481.65,484.3,393.58,276.7,134.5,140.35,2,4
blue,IRSC,384,934,2,2,2,6,9,3,33.33,1198,140.32,7560,5123,2437,63,192,1654,991,663,11,58,123.91,119.4,1180,1214,84,1697905,492.52,430.01,212.56,628.14,428.82,78.12,23.3,214,810.09,324.99,771.79,363.28,576.12,346.36,212.61,165.52,194.37,9,6
orange,AKRON,384,1221,3,2,4,9,6,2,33.33,1274,146.4,8072,5827,2245,70,209,1492,817,675,9,64,175.28,114,1458,1302,127,1718051,447.27,438.2,240.59,617.03,451.42,57.61,24.37,248,818.09,307.97,686.27,439.79,495.57,387.48,243,149.27,164.7,6,9
blue,FISHER,399,1652,7,5,0,19,4,3,36.84,1175,146.88,7872,5818,2054,70,186,2258,1438,820,19,73,123.42,151.93,1176,1236,494,1653820,529.38,487.36,167.67,656.96,419.86,107.57,27.44,290,880.94,303.46,611.68,572.72,414.04,412.12,358.25,149.1,138.82,4,2
orange,BALL STATE,399,1264,3,3,6,4,19,7,75,1213,130.2,7653,5429,2224,59,191,913,500,413,6,32,167.41,82.82,526,516,111,1539660,619.83,399.01,159.84,633.74,469.59,75.34,19.74,231,818.56,360.12,957.07,221.61,760.4,316.14,102.14,128.37,208.41,2,4
blue,FISHER ,343,1072,3,3,3,10,4,1,30,1165,159.11,6772,4603,2169,62,185,1987,1163,824,17,66,103.09,157.64,1072,1700,551,1521590,452.25,407.92,166.71,584.09,375.49,67.29,23.94,237,685.3,341.58,612.2,414.68,439.29,339.94,247.66,137.94,165.41,2,1
orange,BALL STATE,343,788,1,0,6,4,10,3,25,1188,130.06,6616,4268,2348,47,184,1923,1208,715,13,54,181.28,74.52,499,468,97,1468427,481.51,400.09,142.19,546.19,402.49,75.12,18.63,207,711.33,312.47,640.05,383.69,458.01,326.94,238.84,148.98,157.55,1,2
blue,FISHER ,414,1982,7,6,7,11,13,5,63.64,1195,153.16,8398,6316,2082,78,187,1854,1101,753,15,68,112.88,159.15,1199,1529,408,1707923,565.81,432.04,228.82,655.66,483,88.01,24.37,290,805.26,421.4,791.46,435.09,593.24,365.9,267.5,113.91,212.4,5,3
orange,BALL STATE,414,1343,5,4,2,13,11,7,38.46,1267,123.65,8142,5811,2331,66,204,1873,1190,683,13,60,182.63,79.74,1022,813,117,1732583,539.2,484.63,204.42,657.25,500.76,70.22,18.17,235,860.11,368.14,794.94,433.3,597.8,365.65,264.8,129.5,140.63,3,5
blue,GCU,387,1171,4,3,2,11,8,5,36.36,1156,154.49,7489,5009,2480,65,220,1781,710,1071,9,89,111.67,138.68,963,1616,217,1623190,541.25,440.01,177.24,678.57,415.62,64.3,27.21,217,852.01,306.51,694.71,463.8,503.67,398.55,256.28,126.48,130.39,1,0
orange,UTA,387,1584,5,2,5,8,11,4,62.5,1060,147.86,6976,5259,1717,64,142,1448,1037,411,11,36,114.83,175.86,533,1067,42,1557664,573.32,434.57,145.87,569.21,502.32,82.22,27.88,233,813.12,340.65,830.38,323.37,634.61,330.18,188.97,142.2,210.5,0,1
blue,GCU,534,1315,2,1,5,14,9,3,14.29,1244,152.34,11117,7327,3790,93,329,3109,1765,1344,22,113,160.59,157.46,1652,1889,386,2315544,710.67,630.95,235.56,920.13,568.99,88.08,34.5,272,1121.65,455.52,939.5,637.69,677.15,523.37,376.66,251.11,209.99,5,8
orange,UTA,534,1902,3,2,11,9,14,2,33.33,1102,150.99,9584,6755,2829,83,243,2233,1282,951,14,77,194.31,205.04,1056,1304,133,2283079,778.5,584.59,223.48,887.1,612.59,86.89,39.77,382,1103.2,483.37,1047.75,538.83,769.17,507.45,309.96,215,298.73,8,5
blue,GCU,372,1178,2,2,5,8,11,5,25,1132,133.13,7184,4886,2298,60,194,1231,568,663,6,52,146.47,89.52,744,981,39,1548329,540.07,401.96,168.23,606.76,439.23,64.25,20.09,175,790.48,319.78,698.14,412.1,487.19,388.01,235.05,134.63,136.72,1,1
orange,UTA,372,1368,5,2,3,11,8,2,45.45,1249,141.68,7409,5656,1753,66,159,1575,1026,549,12,52,105.12,140.68,1055,834,179,1505846,554.01,384.5,163.35,617.68,408.23,75.95,29.61,274,776.47,325.39,732.62,369.23,547.51,340.07,214.26,150.06,199.26,1,1
blue,GCU,351,1347,3,3,5,8,7,2,37.5,1185,146.44,6892,4663,2229,57,191,2180,1504,676,18,58,91.38,97.76,908,1071,298,1490544,501.46,396.9,150.86,599.15,373.12,76.94,23,196,753.34,295.87,657.99,391.23,478.22,347.74,223.27,162.28,146.06,5,1
orange,UTA,351,854,2,2,2,7,8,3,28.57,1249,152.1,6964,5200,1764,60,154,1915,1370,545,15,48,135.39,147.3,767,608,77,1457988,483.66,403.77,145,574.04,381.67,76.73,30.43,289,730.38,302.06,673.72,358.71,487.5,352.68,192.25,125.25,179.52,1,5
blue,ST EDWARDS,336,848,1,1,3,4,6,2,25,1113,143.51,6251,4462,1789,54,158,1716,1306,410,15,36,110.97,137.82,799,977,195,1416444,515.21,368.58,116.84,557.67,364.66,78.3,18.91,167,659.69,340.93,634.27,366.35,457.9,326.84,215.88,143.77,175.5,6,3
orange,MIZZOU,336,1049,2,2,4,6,4,1,33.33,1185,144.29,6590,4379,2211,49,194,1528,810,718,9,58,82.77,61.55,449,507,94,1438500,467.6,406.7,117.25,539.23,363.76,88.56,26.02,326,723.31,268.24,619.39,372.16,457.46,306.27,227.84,150.76,145.93,3,6
blue,ST EDWARDS,334,919,1,1,5,6,9,2,16.67,1084,125.87,6002,4225,1777,47,158,1025,609,416,7,36,202.94,115.72,684,517,89,1396178,502.74,380.92,111.25,540.57,391.57,62.77,16.11,152,696.47,298.45,737.8,257.11,552.27,320.94,121.68,138.27,207.9,2,2
orange,MIZZOU,334,945,2,2,3,9,6,1,22.22,1292,154.6,7263,5071,2192,60,198,1784,896,888,10,79,127.27,77.66,560,680,130,1505608,407.05,443.07,144.97,562.82,359.5,72.78,27.49,340,742.01,253.1,545.47,449.64,358.45,376.94,259.71,155.52,110.73,2,2
blue,ST EDWARDS,359,955,2,0,5,6,10,4,33.33,1106,128.58,6182,4083,2099,51,177,1573,1070,503,12,42,120.68,148.22,930,972,131,1511651,502.43,394.98,165.08,603.67,384.65,74.2,17.56,166,747.19,315.32,742.48,320.03,554.44,321,187.07,144.76,176.56,1,4
orange,MIZZOU,359,1297,4,2,3,10,6,2,40,1248,144.29,7317,4704,2613,57,240,1908,1126,782,14,71,89.51,86.63,717,1033,269,1563698,463.52,454.96,154.63,604.59,396.46,72.06,27.28,362,820.69,252.42,669.63,403.48,473.12,363.64,236.34,120.85,152.3,4,1
blue,IRSC,353,1141,3,2,5,5,8,0,60,1170,136.79,6748,4624,2124,57,188,1615,975,640,12,56,121.65,90.52,847,995,128,1509075,498.1,395.92,147.2,560.31,407.16,73.75,20.78,174,753.03,288.19,707.65,333.57,527.35,322.98,190.89,159.38,190.66,3,6
orange,BREWTON-PARKER,353,506,0,0,1,8,5,3,0,1148,144.14,6768,4850,1918,57,159,1636,918,718,11,56,140.92,109.37,655,786,94,1512347,502.87,406.73,140.56,585.47,400.87,63.83,19.76,201,709.78,340.39,652.59,397.56,455.14,348.36,246.68,153.7,147.25,6,3
blue,IRSC,342,1028,3,1,5,5,8,1,60,1244,142.18,6887,4552,2335,54,201,1657,1024,633,11,49,97.04,108.09,1043,857,73,1534624,423.11,414.36,176.31,599.98,366.8,47,21.15,186,773.14,240.64,689.85,323.92,499.42,328.41,185.95,143.54,167.57,3,4
orange,BREWTON-PARKER,342,662,1,0,2,8,5,3,12.5,1232,141.85,7079,5091,1988,56,171,1832,1244,588,13,56,133.75,103.02,991,560,76,1497847,437.17,417.9,161.56,596.47,382.09,38.06,21.04,204,664.5,352.12,623,393.63,440.87,349.83,225.93,130.85,154.02,4,3
blue,IRSC,340,842,1,1,2,11,6,2,9.09,1202,140.74,6747,4657,2090,53,175,1858,1028,830,12,64,151.76,103.32,672,653,134,1476838,464.16,416.09,137.4,555.8,393.73,68.11,21.18,213,732.93,284.73,601.76,415.9,416.26,353.63,247.78,158.86,132.48,2,1
orange,BREWTON-PARKER,340,1275,2,2,8,6,11,1,33.33,1146,128.45,6579,4723,1856,56,155,1263,764,499,10,44,196.62,93.12,688,899,236,1411022,518.5,363.14,132.87,568.74,397.86,47.89,23.57,226,708.19,306.3,708.05,306.45,530.26,297.36,186.87,134.97,192.45,1,2
blue,IRSC,344,1184,2,1,6,6,7,1,33.33,1203,138.91,6700,4655,2045,55,182,1312,792,520,9,46,155.85,78.99,923,694,108,1491344,465.4,384.7,174.85,590.66,373.22,61.05,20.54,172,757.8,267.14,699.02,325.93,535.24,306.35,183.37,160.42,189.31,1,2
orange,BREWTON-PARKER,344,736,1,0,2,7,6,2,14.29,1155,142.91,6605,4889,1716,57,152,1824,1243,581,14,52,159.8,121.86,921,900,164,1460584,503.19,371.07,153.7,582.73,381.87,63.35,24.28,224,724.94,303.02,617.14,410.81,447.13,314.25,266.57,134.77,139.22,2,1
blue,BREWTON-PARKER,349,1230,3,3,4,7,7,1,42.86,1270,138.77,7470,5244,2226,61,186,2350,1546,804,17,67,134.05,93.97,1007,669,140,1526103,453.54,411.47,169.94,606.26,369.94,58.74,27.12,236,753.92,281.04,566.91,468.03,394.84,332.77,307.35,151.4,113.88,4,4
orange,WEST VIRGINIA,349,888,1,1,3,7,7,3,14.29,1201,128.28,6437,4688,1749,54,155,1319,900,419,9,37,169.15,84.26,784,583,8,1495853,482.15,409.15,141.83,550.58,418.05,64.48,20.84,196,692.62,340.49,756.06,277.07,572.88,314.46,145.78,147.12,215.17,4,4
blue,BREWTON-PARKER,390,1016,2,1,3,11,5,3,18.18,1223,150.06,8126,5856,2270,71,194,1973,1356,617,18,49,153.33,147.74,685,952,241,1635838,589.52,419.39,160.33,681.34,441.5,46.41,28.43,232,866.3,302.94,751.57,417.67,531.12,388.84,249.3,158.92,149.91,6,0
orange,WEST VIRGINIA,390,1667,3,3,9,5,11,2,60,1207,133.12,7561,5102,2459,59,213,1398,907,491,10,44,156.89,127.24,737,620,96,1640354,554.07,445.82,151.08,639.03,442.43,69.51,23.76,235,801.25,349.74,788.9,362.09,576.21,387.26,187.52,168.43,214.77,0,6
blue,BREWTON-PARKER,351,1490,3,3,8,7,13,2,42.86,1158,134.63,6979,5086,1893,61,171,1444,996,448,11,39,163.86,101.75,804,830,84,1480734,500.82,386.11,161.54,599.42,391.22,57.83,24.26,234,729.01,319.47,756.63,291.86,610.31,278.52,159.65,131.52,199.61,5,1
orange,WEST VIRGINIA,351,1046,2,2,4,13,7,3,15.38,1298,128.69,7188,5068,2120,57,179,1729,1036,693,12,60,165.19,93.91,728,580,162,1543133,414.66,463.74,157.77,552.85,429.72,53.59,17.79,198,747.07,289.12,587.75,448.43,410.38,345.94,279.86,151.79,125.84,1,5
blue,BREWTON-PARKER,333,1065,3,3,1,8,3,0,37.5,1199,140.44,6657,4931,1726,61,144,1435,905,530,11,41,139.44,125.26,880,1017,199,1399648,492.48,373.53,127.22,568.32,352.39,72.52,24.37,217,685.71,307.5,664.4,328.82,476.59,325.95,190.69,157.59,185.57,2,2
orange,WEST VIRGINIA,333,549,0,0,3,3,8,3,0,1163,130.78,6297,4649,1648,54,145,979,559,420,7,38,156.6,106.94,559,704,65,1472779,428.1,439.08,125.99,526.73,402.9,63.53,17.1,178,727.04,266.12,657.49,335.67,439.88,370.47,182.83,136.24,132.49,2,2
blue,NORTH TEXAS,369,879,2,1,4,8,15,5,25,1119,149.88,6966,4803,2163,58,192,1373,947,426,12,37,116.7,129.45,789,1071,260,1567184,489.94,459.61,148.81,673.03,376.25,49.1,25.47,228,789.8,308.57,794.09,304.27,574.93,378.25,145.19,113.49,176.18,8,2
orange,BOISE STATE,369,1629,5,4,6,15,8,2,33.33,1361,140.52,7896,6015,1881,70,160,1176,745,431,8,37,143.29,108.87,960,1001,54,1585704,452.48,452.68,178.19,602.42,425.83,55.1,28.34,306,820.47,262.87,705.83,377.53,524.23,351.48,207.65,154.31,156.73,2,8
blue,NORTH TEXAS,441,1183,1,1,8,2,13,2,50,1118,142.84,8000,5121,2879,58,253,1470,969,501,11,47,150.86,127.18,718,771,150,1865463,647.72,507.62,158.36,724.44,495.97,93.29,27.52,214,941.01,372.71,1007.03,306.69,781.39,362.3,170.02,186.18,274.25,6,3
orange,BOISE STATE,441,955,2,1,1,13,2,1,15.38,1439,143.94,10473,7308,3165,93,266,2745,1592,1153,20,89,176.64,133.41,1698,1644,293,2095045,447.64,578.88,278.54,689.73,512.67,102.67,37.46,414,955.87,349.21,693.87,611.19,456.88,462.21,386,211.22,151.65,3,6
blue,NORTH TEXAS,358,1247,3,2,6,7,9,2,42.86,1182,146.56,6958,4846,2112,61,187,1649,1005,644,12,56,131.09,144.99,610,1319,210,1548848,486.02,432.24,147.72,613.8,369.6,82.58,22.16,183,787.99,277.99,693.3,372.67,503.23,345.52,217.23,139.51,153.06,0,2
orange,BOISE STATE,358,954,2,2,3,9,7,3,22.22,1235,142.07,7170,5100,2070,59,188,1045,524,521,6,47,169.45,108,930,822,96,1611500,422.78,468.67,177.46,566.59,410.57,91.73,23.61,299,762.88,306.02,721.77,347.13,521.89,340.87,206.14,149.91,179.26,2,0
blue,NORTH TEXAS,387,1378,2,2,6,8,13,3,25,1060,146.05,6603,4192,2411,53,213,1007,497,510,6,47,106,139.39,740,1236,130,1619797,582.08,416.45,152.67,644.27,429.69,77.24,23.91,193,842.76,308.41,871.54,279.65,701.72,295.61,153.86,158.76,208.44,1,3
orange,BOISE STATE,387,1591,3,2,6,13,8,2,23.08,1379,139.55,8679,6360,2319,73,204,1770,1006,764,11,70,191.37,92.2,1394,844,88,1835068,402.69,527.58,226.92,619.58,460.15,77.43,27.61,325,835.36,321.83,656.22,500.96,464.49,376.48,316.21,162.34,153.18,3,1
blue,STOCKTON,326,776,2,1,1,9,1,0,22.22,1205,155.02,6499,4602,1897,59,174,1350,761,589,9,51,119.38,99.59,884,1211,140,1457112,417.81,409.9,145.1,569.41,352.76,50.63,22.95,229,739.74,233.07,579.29,393.54,395.28,368.63,208.92,130.51,137.83,3,2
orange,NKU,326,719,0,0,5,1,9,2,0,1203,142.84,6517,4373,2144,53,194,1143,651,492,7,44,147.18,103.46,936,993,51,1471430,406.62,388.56,174.49,545.07,382.83,41.77,19.76,199,661.26,308.41,679.04,290.62,497.2,315.85,156.61,166.69,178.45,2,3
blue,STOCKTON,364,1322,4,3,5,8,7,2,50,1256,141.47,7370,5291,2079,64,175,1506,944,562,13,48,114.66,118.01,661,823,358,1518949,517.35,411.79,153.04,607.24,409.04,65.91,25.48,233,807.2,274.99,708.21,373.98,519.95,344.79,217.46,147.93,171.38,3,3
orange,NKU,364,792,2,0,3,7,8,4,28.57,1151,144.45,6973,4438,2535,55,220,1656,878,778,11,64,164.49,91.13,996,1029,228,1539889,515.86,415.6,150.49,628.92,411.56,41.47,24.39,260,735.16,346.78,709.15,372.79,525.4,342.03,214.53,142.38,164.2,3,3
blue,STOCKTON,338,813,2,1,3,7,4,1,28.57,1250,156.07,6961,5152,1809,62,169,1133,648,485,8,46,99,138.29,804,999,162,1472454,426,406.84,161.43,608.68,326.55,59.04,26.85,235,760.82,233.43,614.68,379.57,413.71,383.35,197.21,139.01,120.71,3,6
orange,NKU,338,701,1,1,3,4,7,2,25,1132,132.42,6309,4009,2300,49,205,1092,425,667,5,59,138.6,110.49,755,943,88,1444203,479.41,401.23,122.77,566.98,354.36,82.07,24.39,246,680.03,323.39,687.94,315.48,504.26,339.17,159.99,153.77,201.82,6,3
blue,NUW,371,930,2,1,2,14,4,1,14.29,1284,146.28,7932,5498,2434,66,205,2093,1262,831,15,65,119.1,119.34,1190,1063,205,1642889,486.79,458.62,162.84,639.7,400.99,67.53,29.43,292,860.1,248.12,597.82,510.41,386.61,417.85,303.78,170.52,123.76,5,2
orange,ROCHESTER,371,1365,1,0,11,4,14,2,25,1178,134.08,6999,4543,2456,52,214,702,404,298,5,26,157.03,77.33,1011,668,97,1567491,535.28,401.88,158.27,599.31,440.94,55.17,20.1,202,797.72,297.71,874.32,221.11,703.24,272.63,119.56,157.4,232.64,2,5
blue,NUW,552,1634,3,3,7,10,11,4,30,1099,147.86,10389,6990,3399,88,288,2119,1371,748,16,68,180.87,145.24,1414,1673,250,2366787,752.11,623.38,261.15,929.09,628.79,78.76,40.18,350,1236.58,400.05,1123.83,512.8,816.22,557.22,263.19,220.43,261.31,2,6
orange,ROCHESTER,552,1851,4,4,7,11,10,3,36.36,1285,142.75,11571,8212,3359,102,292,2805,1927,878,23,75,236.71,174.09,1571,1783,286,2486988,682.55,681.96,281.62,902.15,630.79,113.19,27.29,270,1201.77,444.35,1077,569.12,809.39,522.7,314.04,232.23,255.15,6,2
blue,NUW,342,1049,3,3,3,4,6,1,75,1208,144.66,6656,4636,2020,57,168,1202,901,301,10,28,119.94,102.11,866,1107,132,1413360,484.71,388.97,128.42,574.54,372.92,54.65,25.71,211,772.06,230.04,703.18,298.92,523.6,304.86,173.65,140.21,172.87,3,8
orange,ROCHESTER,342,626,1,1,1,6,4,3,16.67,1326,144.4,7385,5476,1909,63,175,1330,790,540,9,48,163.85,102.69,1555,892,108,1564958,399.33,410.3,208.53,589.82,373.44,54.9,18.57,181,699.06,319.11,623.69,394.47,453.27,332.5,232.4,133.4,149.42,8,3
blue,NUW,354,1113,3,2,3,12,9,2,25,1087,142.49,6348,4474,1874,54,169,807,367,440,4,40,133.93,109.92,776,817,46,1493623,503.97,400.33,145.09,575.82,418.3,55.23,24.82,233,766.76,282.59,691.2,358.17,501.12,364.53,183.72,143.63,181.05,3,4
orange,ROCHESTER,354,1362,2,2,9,9,12,3,22.22,1315,139.03,7689,5721,1968,68,175,1516,1001,515,11,47,141.81,112.28,1074,1111,112,1559027,440.55,438.82,173.12,538.31,430.5,83.69,18.23,187,791.72,260.77,697.64,354.84,531.56,318.24,202.69,150.75,147.77,4,3
blue,NUW,345,753,1,0,3,8,8,3,12.5,1338,156.06,7611,5563,2048,69,177,1902,1328,574,15,53,122.12,108.77,984,1339,148,1568728,415.71,432.92,184.2,564.36,391.29,77.19,26.99,244,711.52,321.31,613.93,418.9,429.96,356.63,246.26,150.24,154.08,3,1
orange,ROCHESTER,345,1324,3,1,7,8,8,1,37.5,1205,147.97,6677,4394,2283,52,194,1121,582,539,7,44,155.53,102.19,1298,909,152,1555505,426.09,421.26,179.81,591.42,360.36,75.4,18.93,181,762.86,264.31,728.2,298.97,559.4,299.21,168.56,138.86,171.25,1,3
blue,FISHER,332,800,2,2,0,10,2,1,20,1206,148.54,6722,4649,2073,56,178,1854,1008,846,12,69,142.43,103.05,706,817,156,1474166,429.58,415.67,143.22,548.22,360.83,79.43,21.28,226,742.35,246.13,521.06,467.42,333.91,388.82,265.75,141.73,121.58,2,3
orange,SIENA HEIGHTS,332,1101,1,1,7,2,10,2,50,1241,143.13,7079,5264,1815,59,163,1750,1198,552,14,49,123.22,95.66,1065,672,201,1441275,467.24,376.15,148.28,560.28,388.92,42.47,24.35,236,667.04,324.63,710.28,281.39,557.05,276.8,157.82,141.38,195.89,3,2
blue,FISHER,353,1203,4,2,3,11,4,1,36.36,1206,144.58,7123,4724,2399,59,211,2005,1128,877,13,75,119.87,91.11,1401,867,169,1569372,441.1,428.54,180.84,589.42,404.03,57.04,20.23,238,757.47,293.02,615.59,434.89,446.95,327.19,276.36,144.28,153.09,1,3
orange,SIENA HEIGHTS,353,945,1,1,6,4,11,4,25,1305,145.52,7573,5617,1956,66,177,1604,938,666,10,59,123.61,87.08,1231,992,64,1603624,427.11,440.46,188.93,599.36,398,59.13,27.33,261,741.86,314.63,707.67,348.81,525.11,344.37,187.01,144.3,174.81,3,1
blue,FISHER,354,1028,1,1,6,10,11,4,10,1199,147.59,7110,5489,1621,67,146,2043,1365,678,16,59,150.02,122.25,911,1168,192,1554900,441.92,436.21,173.31,547.18,436.37,67.89,21.12,247,685.45,365.98,596.96,454.47,431.51,329.39,290.54,166.66,153.08,1,3
orange,SIENA HEIGHTS,354,1532,4,4,7,11,10,1,36.36,1243,131.27,6891,4788,2103,54,182,1329,758,571,9,49,157.84,67.36,918,642,144,1556720,459.8,443.34,156.64,594.24,399.72,65.82,25.14,265,791.58,268.2,719.18,340.6,529.44,355.86,174.47,127.38,175.92,3,1
blue,FISHER,365,1193,4,3,1,13,3,2,30.77,1289,143.44,7458,5096,2362,59,205,1969,1179,790,14,67,136.93,95.4,1029,604,149,1599433,452.11,451.06,182.3,593.21,422.81,69.44,23.91,280,817.52,267.94,613.71,471.76,403.13,381.9,300.43,163.24,128.43,4,3
orange,SIENA HEIGHTS,365,1142,2,2,7,3,13,4,66.67,1208,137.64,7039,5048,1991,58,169,1488,964,524,11,45,145.62,70.54,994,668,134,1603974,459.12,424.95,197.14,612.83,421.19,47.18,24.08,252,733.69,347.52,791.87,289.33,607.44,327.45,146.3,129.06,206.15,3,4
blue,UNLV,434,1412,2,1,7,11,10,1,18.18,1290,156.59,9069,6104,2965,76,267,2030,1201,829,14,76,123.66,132.7,1572,1519,215,1948497,556.01,494.7,242,719.09,498.08,75.55,19.28,163,901.19,391.51,843.35,449.37,621.19,409.6,261.92,184.39,206.79,4,3
orange,MIZZOU,434,1064,1,1,5,10,11,2,10,1184,138.11,8404,5590,2814,68,247,2299,1442,857,18,78,185.3,76.36,977,1093,291,1921414,534.5,575.41,170.04,711.63,487.42,80.9,32.77,401,919.6,360.36,774.96,504.99,547.03,433.48,299.44,191.04,205.31,3,4
blue,UNLV,353,1323,4,3,4,13,6,1,30.77,1269,138.95,7063,4916,2147,57,186,1369,690,679,8,59,155.87,95.95,985,839,118,1566578,439.51,432.01,178.21,556.87,409.16,83.7,11.88,109,790.61,259.13,674.32,375.42,482.84,338.47,228.43,152.85,140.09,5,3
orange,MIZZOU,353,912,1,0,7,6,13,4,16.67,1202,139.19,6751,4744,2007,59,180,922,407,515,6,44,99.33,61.69,465,970,130,1526398,448.82,448.93,145.95,554.13,415.21,74.38,30.21,362,725.13,318.56,722.38,321.33,517.79,350.27,175.65,128.69,187.74,3,5
blue,UNLV,357,839,1,0,4,4,8,3,25,1303,149.82,7566,5276,2290,65,197,1766,1101,665,12,51,121.98,124.27,1333,1262,107,1575498,452.73,409.6,196.43,585.28,405.01,68.45,15.29,138,724.1,334.66,721.16,337.6,527.68,329.39,201.7,155.1,186.45,2,1
orange,MIZZOU,357,1066,3,2,3,8,4,1,37.5,1272,140.3,7402,4678,2724,56,242,1724,769,955,8,83,101.93,59.41,910,696,11,1614960,417.13,472.49,177.12,639.1,373.73,53.9,29.44,371,782.78,283.95,648.49,418.26,449.11,383.13,234.48,137.49,148.49,1,2
blue,UNLV,338,1048,2,2,5,5,7,1,40,1267,159.63,6879,4873,2006,63,181,1870,1192,678,14,60,93.3,80.16,1108,1486,210,1473127,457.53,394.07,156.57,571.85,387.23,49.08,15.2,140,673.6,334.58,663.47,344.71,492.6,314.42,201.14,121.73,176.41,3,2
