color,team name,game duration,score,goals,assists,saves,shots,shots conceded,goals conceded,shooting percentage,bpm,avg boost amount,amount collected,amount collected big pads,amount collected small pads,count collected big pads,count collected small pads,amount stolen,amount stolen big pads,amount stolen small pads,count stolen big pads,count stolen small pads,0 boost time,100 boost time,amount used while supersonic,amount overfill total,amount overfill stolen,total distance,time slow speed,time boost speed,time supersonic speed,time on ground,time low in air,time high in air,time powerslide,count powerslide,time behind ball,time in front of ball,time defensive half,time offensive half,time defensive third,time neutral third,time offensive third,time ball possession,time ball in own side,demos inflicted,demos taken
blue,KSU Varsity,332,865,0,0,6,7,9,2,0,1136,158.23,6212,3923,2289,50,197,1353,598,755,8,63,81.41,88.83,863,835,194,1487661,453.57,372.34,166.19,544.23,382.76,65.11,29.02,290,705.36,286.74,652.04,340.05,481.36,314.58,196.15,163.84,165.6,2,2
orange,SHSU,332,1103,2,1,6,9,7,0,22.22,1324,144.45,7269,5408,1861,62,158,1891,1271,620,14,55,170.62,90.82,877,731,133,1534304,392.64,447.17,152.34,556.01,367.57,68.57,24.37,236,720.33,271.82,607.47,384.65,436.52,332.89,222.74,140.84,159.15,2,2
blue,UTA,351,1450,4,3,4,13,7,1,30.77,1248,142.75,6816,5076,1740,58,149,1447,886,561,10,48,174.33,111.99,721,553,114,1507143,476.89,414.68,151.9,553.93,403.39,86.16,28.46,266,764.43,279.03,635.59,407.88,447.6,354.48,241.39,145.27,157.24,2,3
orange,CSUF,351,821,1,0,7,7,13,4,14.29,1207,135.97,6829,4486,2343,55,193,1666,1086,580,12,52,137.68,130.74,1148,915,135,1483263,505.8,354.44,186.45,597.58,375.4,73.72,23.51,245,728.38,318.32,713.09,333.6,558.97,285.14,202.6,128.86,168.4,3,2
blue,UTA,380,1393,4,4,6,7,9,3,57.14,1305,143.6,8133,6146,1987,70,184,1855,1321,534,14,52,177.97,101.8,1163,765,84,1679691,479.53,439.81,212.56,630.54,418.77,82.58,27.42,248,788.07,343.83,722.98,408.92,531.1,366.82,233.99,159.54,176.84,1,3
orange,CSUF,380,1061,3,3,2,9,7,4,33.33,1294,142.04,8059,5727,2332,66,200,2046,1295,751,14,61,168.82,119.39,1332,926,116,1709040,454.59,455.2,226.47,629.05,448.62,58.61,27.81,296,821.76,314.5,754.9,381.38,548.37,373.1,214.8,133.57,167.65,3,1
blue,UTA,345,1093,3,1,4,16,6,1,18.75,1285,154.13,7385,5380,2005,63,180,2132,1356,776,16,72,163.42,115.33,1279,916,222,1554329,424.67,414.51,196.44,581.21,401.14,53.26,26.08,256,768.63,267,540.93,494.69,371.45,358.68,305.5,146.78,128.37,2,0
orange,CSUF,345,1158,1,1,9,6,16,3,16.67,1148,136.19,6581,4608,1973,56,172,1093,574,519,9,44,155.16,117.34,1176,1039,324,1470550,516.84,356.88,158.95,606.73,374.61,51.34,26.1,263,699.43,333.25,765.4,267.25,616.17,257.82,158.71,132.76,196.68,0,2
blue,UTA,342,706,1,1,2,7,9,3,14.29,1237,138.24,6731,4884,1847,55,167,1417,792,625,9,55,133.81,100.88,1039,573,70,1508132,450.77,382.38,179.34,557.4,401.37,53.73,32.69,285,623.41,389.08,683.52,328.96,495.34,326.86,190.28,123.19,199.06,1,4
orange,CSUF,342,1216,3,3,5,9,7,1,33.33,1309,134.63,7181,5184,1997,59,170,1961,1243,718,13,67,148.83,98.41,1703,756,73,1578035,409.16,394.11,218.48,580.94,391.67,49.16,24.18,247,759.78,261.99,598.8,422.95,438.78,311.41,271.57,169.11,124.5,4,1
blue,CSUF,387,1782,7,3,5,12,9,2,58.33,1293,136.79,7879,5838,2041,66,177,1618,972,646,11,56,139.13,121.61,1138,763,131,1601421,564.75,386.42,200.89,639.1,444.99,67.96,22.61,257,873.61,278.44,771.43,380.63,577.74,341.82,232.5,127.22,166.65,5,2
orange,OTTAWA,387,986,2,1,4,9,12,7,22.22,1263,143.61,7318,5034,2284,61,189,1475,819,656,9,52,122.8,91.67,1044,1017,88,1497815,472.02,412.2,170.71,640.24,342.35,72.33,19.65,189,741.53,313.39,646.35,408.57,474.04,345.3,235.59,141.15,174.23,2,5
blue,CSUF,328,1062,2,2,5,5,6,1,40,1213,145.42,6618,4780,1838,56,164,1457,1030,427,12,40,132.47,76.51,1236,691,122,1430257,432.55,351.02,179.96,540.77,369.94,52.81,25.78,269,702.27,261.27,686.57,276.95,529.84,274.29,159.41,133.02,192.8,6,7
orange,OTTAWA,328,795,1,1,3,6,5,2,16.67,1279,151.48,6820,4598,2222,57,190,1875,1032,843,13,67,115.56,103.81,1098,1180,273,1490285,386.17,407.44,172.81,554.39,346.59,65.45,18.6,180,688.41,278.04,564.47,401.97,395.72,322.95,247.77,166.23,122.22,7,6
blue,CSUF,380,1117,2,2,5,8,10,1,25,1263,155.97,7917,5553,2364,68,207,1846,1305,541,16,49,136.53,118.88,1295,1099,118,1673747,497.32,425.13,208.36,624.92,434.38,71.5,27.36,277,780.77,350.05,800.64,330.16,614.49,331.31,185,160.72,215.84,2,3
orange,OTTAWA,380,907,1,1,4,10,8,2,10,1213,153.32,7752,5397,2355,68,212,2086,1097,989,14,86,105.14,130.82,1454,1401,304,1748591,448.22,483.79,201.77,694.52,392.93,46.32,18.77,190,822.91,310.85,624.78,508.99,422.41,400.12,311.24,177.95,149.03,3,2
blue,CSUF,346,830,1,0,5,4,9,3,25,1121,147.31,6230,4181,2049,51,181,1501,1006,495,11,44,107.76,110.53,1100,953,97,1450588,483.22,375.46,161.58,571.9,392.93,55.42,21.26,208,736.29,283.96,749.35,270.9,578.04,292.28,149.93,126.8,210.92,3,5
